begins_at,close_price,volume,symbol
2020-04-06,4.530000,102205319,F
2020-04-07,4.710000,115150448,F
2020-04-08,5.030000,117022189,F
2020-04-09,5.370000,175833664,F
2020-04-13,5.160000,99320002,F
2020-04-14,5.290000,74877032,F
2020-04-15,5.030000,74727746,F
2020-04-16,4.940000,58951213,F
2020-04-17,5.120000,91989318,F
2020-04-20,4.980000,71079442,F
2020-04-21,4.770000,82400209,F
2020-04-22,4.770000,62398608,F
2020-04-23,4.890000,61959760,F
2020-04-24,4.870000,54352479,F
2020-04-27,5.170000,91082846,F
2020-04-28,5.380000,106222815,F
2020-04-29,5.260000,126393015,F
2020-04-30,5.090000,93437941,F
2020-05-01,4.920000,82660057,F
2020-05-04,4.860000,84214747,F
2020-05-05,4.970000,96301286,F
2020-05-06,4.870000,89390419,F
2020-05-07,4.870000,67222935,F
2020-05-08,5.240000,101333782,F
2020-05-11,5.120000,75734000,F
2020-05-12,4.980000,70965193,F
2020-05-13,4.720000,100192290,F
2020-05-14,4.890000,108061111,F
2020-05-15,4.900000,80544650,F
2020-05-18,5.310000,136241424,F
2020-05-19,5.300000,94836282,F
2020-05-20,5.490000,87685371,F
2020-05-21,5.630000,87098219,F
2020-05-22,5.650000,76656465,F
2020-05-26,5.840000,86046301,F
2020-05-27,6.030000,110413883,F
2020-05-28,5.850000,77126187,F
2020-05-29,5.710000,93039226,F
2020-06-01,5.870000,61938822,F
2020-06-02,5.900000,80046000,F
2020-06-03,6.190000,98876582,F
2020-06-04,6.570000,115798591,F
2020-06-05,7.340000,208648166,F
2020-06-08,7.530000,113169300,F
2020-06-09,7.240000,115749606,F
2020-06-10,6.810000,147327062,F
2020-06-11,6.130000,116184727,F
2020-06-12,6.460000,88778026,F
2020-06-15,6.500000,104742595,F
2020-06-16,6.550000,109535182,F
2020-06-17,6.330000,67831355,F
2020-06-18,6.330000,61301776,F
2020-06-19,6.230000,126127803,F
2020-06-22,6.280000,71724254,F
2020-06-23,6.150000,86672823,F
2020-06-24,5.950000,75536274,F
2020-06-25,6.030000,73612736,F
2020-06-26,5.910000,118435386,F
2020-06-29,6.010000,58208433,F
2020-06-30,6.080000,61909299,F
2020-07-01,5.980000,62454691,F
2020-07-02,6.050000,67270506,F
2020-04-06,7.230000,98048627,GE
2020-04-07,7.030000,96087784,GE
2020-04-08,7.300000,92650709,GE
2020-04-09,7.140000,128361777,GE
2020-04-13,7.020000,94074487,GE
2020-04-14,6.930000,107067193,GE
2020-04-15,6.500000,138220834,GE
2020-04-16,6.240000,165678212,GE
2020-04-17,6.840000,165907834,GE
2020-04-20,6.510000,99691614,GE
2020-04-21,6.480000,77453062,GE
2020-04-22,6.430000,76844099,GE
2020-04-23,6.520000,82796111,GE
2020-04-24,6.260000,155976769,GE
2020-04-27,6.430000,107038189,GE
2020-04-28,6.800000,140668593,GE
2020-04-29,6.580000,225227990,GE
2020-04-30,6.800000,175711114,GE
2020-05-01,6.500000,120376502,GE
2020-05-04,6.210000,136852351,GE
2020-05-05,6.200000,116998471,GE
2020-05-06,5.980000,117253558,GE
2020-05-07,6.110000,100663261,GE
2020-05-08,6.290000,93934568,GE
2020-05-11,6.190000,71842990,GE
2020-05-12,6.000000,95652153,GE
2020-05-13,5.790000,235745314,GE
2020-05-14,5.700000,140205418,GE
2020-05-15,5.490000,128486212,GE
2020-05-18,6.270000,255278693,GE
2020-05-19,6.210000,108485062,GE
2020-05-20,6.420000,91287373,GE
2020-05-21,6.480000,98821118,GE
2020-05-22,6.410000,69586159,GE
2020-05-26,6.800000,129510664,GE
2020-05-27,7.290000,147750905,GE
2020-05-28,6.780000,138911499,GE
2020-05-29,6.570000,129404442,GE
2020-06-01,6.760000,75370411,GE
2020-06-02,7.050000,113575388,GE
2020-06-03,7.360000,122819506,GE
2020-06-04,7.740000,125193927,GE
2020-06-05,7.880000,167811633,GE
2020-06-08,8.460000,158459066,GE
2020-06-09,8.020000,117645230,GE
2020-06-10,7.610000,116954543,GE
2020-06-11,6.950000,124502906,GE
2020-06-12,7.250000,100985656,GE
2020-06-15,7.240000,102163750,GE
2020-06-16,7.470000,98161390,GE
2020-06-17,7.240000,75211297,GE
2020-06-18,7.280000,78398241,GE
2020-06-19,7.150000,88679534,GE
2020-06-22,7.040000,78289647,GE
2020-06-23,7.000000,80583906,GE
2020-06-24,6.530000,144666037,GE
2020-06-25,6.680000,73946586,GE
2020-06-26,6.480000,89409571,GE
2020-06-29,6.800000,75277302,GE
2020-06-30,6.830000,69517123,GE
2020-07-01,6.740000,120630782,GE
2020-07-02,6.820000,74151839,GE
2020-04-06,9.500000,94272306,AAL
2020-04-07,10.220000,138060974,AAL
2020-04-08,11.330000,82718687,AAL
2020-04-09,12.510000,117592821,AAL
2020-04-13,11.560000,73385533,AAL
2020-04-14,11.945000,68039491,AAL
2020-04-15,12.290000,124719945,AAL
2020-04-16,11.070000,83626979,AAL
2020-04-17,11.570000,61279474,AAL
2020-04-20,11.060000,58984927,AAL
2020-04-21,11.000000,49882258,AAL
2020-04-22,10.270000,76320112,AAL
2020-04-23,10.250000,54598512,AAL
2020-04-24,10.310000,67234912,AAL
2020-04-27,10.020000,67378762,AAL
2020-04-28,11.260000,114642980,AAL
2020-04-29,12.630000,113669404,AAL
2020-04-30,12.010000,94921443,AAL
2020-05-01,10.640000,99441398,AAL
2020-05-04,9.820000,125580017,AAL
2020-05-05,9.510000,86943949,AAL
2020-05-06,9.250000,68990968,AAL
2020-05-07,9.540000,61816999,AAL
2020-05-08,10.140000,59649750,AAL
2020-05-11,10.100000,48705945,AAL
2020-05-12,9.650000,46833143,AAL
2020-05-13,9.110000,68704637,AAL
2020-05-14,9.150000,72320522,AAL
2020-05-15,9.040000,39560529,AAL
2020-05-18,9.870000,76624405,AAL
2020-05-19,9.640000,62242475,AAL
2020-05-20,9.870000,44006731,AAL
2020-05-21,9.875000,45785718,AAL
2020-05-22,9.700000,37596763,AAL
2020-05-26,11.140000,101717009,AAL
2020-05-27,11.980000,99314752,AAL
2020-05-28,10.980000,70811411,AAL
2020-05-29,10.500000,59054713,AAL
2020-06-01,11.110000,50681600,AAL
2020-06-02,11.220000,49148574,AAL
2020-06-03,11.850000,86685282,AAL
2020-06-04,16.720000,399432625,AAL
2020-06-05,18.590000,428617124,AAL
2020-06-08,20.310000,175418927,AAL
2020-06-09,18.550000,111234412,AAL
2020-06-10,17.020000,163952527,AAL
2020-06-11,14.380000,124220842,AAL
2020-06-12,16.740000,161101802,AAL
2020-06-15,16.700000,122904105,AAL
2020-06-16,17.030000,127369736,AAL
2020-06-17,16.980000,71706660,AAL
2020-06-18,16.490000,64265328,AAL
2020-06-19,16.000000,92320184,AAL
2020-06-22,14.920000,118994544,AAL
2020-06-23,14.000000,204022271,AAL
2020-06-24,13.040000,140975485,AAL
2020-06-25,13.170000,117383374,AAL
2020-06-26,12.380000,108813029,AAL
2020-06-29,13.320000,115051081,AAL
2020-06-30,13.070000,69607727,AAL
2020-07-01,12.810000,116661657,AAL
2020-07-02,12.500000,86439533,AAL
2020-04-06,99.580000,20407359,DIS
2020-04-07,101.240000,22899572,DIS
2020-04-08,101.070000,22562536,DIS
2020-04-09,104.500000,31485591,DIS
2020-04-13,103.500000,17305975,DIS
2020-04-14,106.030000,19866909,DIS
2020-04-15,103.370000,14157642,DIS
2020-04-16,102.020000,18029326,DIS
2020-04-17,106.630000,17926937,DIS
2020-04-20,102.260000,17020976,DIS
2020-04-21,100.540000,16101433,DIS
2020-04-22,100.990000,11491992,DIS
2020-04-23,101.000000,17132150,DIS
2020-04-24,101.190000,13621103,DIS
2020-04-27,106.060000,15518290,DIS
2020-04-28,106.210000,16503665,DIS
2020-04-29,112.250000,20139800,DIS
2020-04-30,108.150000,18638721,DIS
2020-05-01,105.500000,13209147,DIS
2020-05-04,103.180000,19514835,DIS
2020-05-05,101.060000,30169815,DIS
2020-05-06,100.880000,51992370,DIS
2020-05-07,105.570000,20868772,DIS
2020-05-08,109.160000,24101684,DIS
2020-05-11,107.770000,20555873,DIS
2020-05-12,104.560000,17049744,DIS
2020-05-13,102.920000,21085767,DIS
2020-05-14,105.910000,22002221,DIS
