begins_at,close_price,volume,symbol
2020-03-26,258.440000,63140169,AAPL
2020-03-27,247.740000,51054153,AAPL
2020-03-30,254.810000,41994110,AAPL
2020-03-31,254.290000,49250501,AAPL
2020-04-01,240.910000,44054638,AAPL
2020-04-02,244.930000,41483493,AAPL
2020-04-03,241.410000,32470017,AAPL
2020-04-06,262.470000,50455071,AAPL
2020-04-07,259.430000,50721831,AAPL
2020-04-08,266.070000,42223821,AAPL
2020-04-09,267.990000,40529123,AAPL
2020-04-13,273.250000,32755731,AAPL
2020-04-14,287.050000,48748672,AAPL
2020-04-15,284.430000,32788641,AAPL
2020-04-16,286.690000,39281290,AAPL
2020-04-17,282.800000,53812478,AAPL
2020-04-20,276.930000,32503750,AAPL
2020-04-21,268.370000,45247893,AAPL
2020-04-22,276.100000,29264342,AAPL
2020-04-23,275.030000,31203582,AAPL
2020-04-24,282.970000,31627183,AAPL
2020-04-27,283.170000,29271893,AAPL
2020-04-28,278.580000,28001187,AAPL
2020-04-29,287.730000,34320204,AAPL
2020-04-30,293.800000,45765968,AAPL
2020-05-01,289.070000,60154175,AAPL
2020-05-04,293.160000,33391986,AAPL
2020-05-05,297.560000,36937795,AAPL
2020-05-06,300.630000,35583438,AAPL
2020-05-07,303.740000,28803764,AAPL
2020-05-08,310.130000,33511985,AAPL
2020-05-11,315.010000,36486561,AAPL
2020-05-12,311.410000,40575263,AAPL
2020-05-13,307.650000,50155639,AAPL
2020-05-14,309.540000,39732269,AAPL
2020-05-15,307.710000,41587094,AAPL
2020-05-18,314.960000,33843125,AAPL
2020-05-19,313.140000,25432385,AAPL
2020-05-20,319.230000,27876215,AAPL
2020-05-21,317.160000,25672211,AAPL
2020-05-22,318.890000,20450754,AAPL
2020-05-26,316.730000,31380454,AAPL
2020-05-27,318.110000,28236274,AAPL
2020-05-28,318.250000,33449103,AAPL
2020-05-29,317.940000,38399532,AAPL
2020-06-01,321.850000,20254653,AAPL
2020-06-02,323.340000,21910704,AAPL
2020-06-03,325.120000,26122804,AAPL
2020-06-04,322.320000,21890091,AAPL
2020-06-05,331.500000,34312550,AAPL
2020-06-08,333.460000,23913634,AAPL
2020-06-09,343.990000,36928091,AAPL
2020-06-10,352.840000,41662938,AAPL
2020-06-11,335.900000,50415613,AAPL
2020-06-12,338.800000,50036513,AAPL
2020-06-15,342.990000,34702230,AAPL
2020-06-16,352.080000,41357182,AAPL
2020-06-17,351.590000,28601626,AAPL
2020-06-18,351.730000,24205096,AAPL
2020-06-19,349.720000,66118952,AAPL
2020-06-22,358.870000,33861316,AAPL
2020-06-23,366.530000,53038869,AAPL
2020-06-24,360.060000,48155849,AAPL
2020-06-25,364.840000,34380628,AAPL
